  Ti001:     6: 15434, 983, 7556, 5039, 5912, 6844
  Ti002:     6: 79, 14720, 14893, 15523, 6628, 5842
  Ti003:     6: 5826, 966, 5997, 6707, 5899, 4923
  Ti004:     5: 4971, 15300, 5261, 853, 14936
  Ti005:     6: 4755, 6533, 5630, 15600, 15382, 5415
  Ti006:     5: 15358, 6785, 6764, 4963, 873
  Ti007:     6: 5343, 5871, 71, 6155, 5726, 6152
  Ti008:     6: 15214, 15348, 5678, 6719, 5375, 4698
  Ti009:     6: 5126, 6220, 14822, 15578, 313, 14710
  Ti010:     5: 6315, 15003, 6069, 15035, 5387
  Ti011:     6: 4549, 5204, 15548, 6188, 370, 99
  Ti012:     5: 15201, 6631, 797, 214, 14808
  Ti013:     6: 80, 5122, 5854, 14784, 14890, 5829
  Ti014:     5: 4839, 15209, 15563, 5378, 15205
  Ti015:     5: 5269, 6164, 4872, 5652, 5865
  Ti016:     5: 4822, 647, 6204, 119, 4808
  Ti017:     5: 6241, 15020, 676, 4852, 6604
  Ti018:     6: 14906, 6035, 5142, 463, 14998, 15147
  Ti019:     6: 6270, 15597, 15623, 6048, 5403, 5792
  Ti020:     6: 15582, 166, 6255, 6546, 15157, 4709
  Ti021:     6: 5731, 179, 6627, 508, 15005, 6571
  Ti022:     5: 6282, 15166, 5360, 6544, 6626
  Ti023:     6: 4779, 5634, 678, 5637, 15189, 15618
  Ti024:     5: 4622, 15137, 15632, 6377, 15011
  Ti025:     6: 4769, 15001, 15375, 844, 5148, 6752
  Ti026:     5: 6128, 14703, 14804, 5719, 302
  Ti027:     5: 5848, 5900, 962, 15238, 5929
  Ti028:     5: 44, 14705, 5860, 588, 14846
  Ti029:     5: 5018, 6073, 6819, 216, 6317
  Ti030:     6: 4722, 5569, 15104, 15143, 15148, 4775
  Ti031:     6: 5298, 465, 5275, 5438, 6427, 15055
  Ti032:     5: 14869, 5932, 441, 14728, 5350
  Ti033:     6: 6290, 4838, 4634, 5550, 5355, 501
  Ti034:     6: 5945, 15105, 128, 4537, 6213, 512
  Ti035:     5: 5016, 5728, 5740, 196, 903
  Ti036:     5: 14766, 15575, 14769, 396, 6343
  Ti037:     6: 5063, 15428, 934, 4933, 6858, 6730
  Ti038:     6: 5556, 14913, 15111, 6163, 606, 5535
  Ti039:     5: 6777, 4693, 15671, 917, 14914
  Ti040:     5: 184, 4648, 5312, 6278, 15628
  Ti041:     6: 6245, 5130, 14876, 14873, 15223, 5981
  Ti042:     5: 4633, 14927, 6041, 5619, 5281
  Ti043:     5: 68, 15075, 15512, 4574, 4603
  Ti044:     5: 199, 14951, 14993, 15643, 674
  Ti045:     6: 4671, 5483, 14787, 509, 6384, 73
  Ti046:     5: 4957, 5851, 15210, 15658, 5680
  Ti047:     6: 4598, 15510, 6183, 15543, 15072, 6360
  Ti048:     5: 4655, 15184, 397, 4663, 5789
  Ti049:     6: 5304, 15246, 6744, 14719, 5742, 15391
  Ti050:     5: 63, 6147, 14717, 15509, 5294
  Ti051:     6: 4778, 15207, 5067, 4909, 914, 6853
  Ti052:     5: 4637, 14862, 15132, 407, 5679
  Ti053:     5: 15231, 6854, 15443, 6861, 5064
  Ti054:     5: 5660, 15136, 14881, 4962, 15610
  Ti055:     5: 15431, 6830, 15014, 4810, 730
  Ti056:     6: 138, 14785, 4641, 100, 6225, 5259
  Ti057:     5: 5858, 15230, 6549, 15352, 4880
  Ti058:     5: 4535, 14828, 6303, 5183, 5351
  Ti059:     6: 174, 4843, 631, 6450, 4616, 14894
  Ti060:     5: 4737, 6038, 603, 5572, 188
  Ti061:     5: 169, 6259, 15613, 6264, 4927
  Ti062:     5: 4784, 15172, 15199, 15488, 4745
  Ti063:     5: 5037, 5406, 4819, 6828, 15426
  Ti064:     5: 4770, 4845, 15198, 15554, 6614
  Ti065:     6: 4908, 5921, 15361, 5033, 5045, 6843
  Ti066:     5: 4680, 5306, 5622, 6169, 6562
  Ti067:     5: 5749, 14962, 944, 5031, 15425
  Ti068:     5: 5279, 15142, 15529, 15572, 15125
  Ti069:     5: 4820, 6681, 14943, 720, 15028
  Ti070:     5: 4733, 4674, 4611, 6490, 96
  Ti071:     5: 4874, 15335, 5656, 6088, 15054
  Ti072:     5: 131, 14864, 6386, 6217, 5272
  Ti073:     6: 5813, 15289, 895, 6337, 15047, 227
  Ti074:     6: 4788, 15121, 15169, 4723, 5578, 4619
  Ti075:     6: 5457, 15260, 5014, 15377, 6078, 15049
  Ti076:     5: 83, 14815, 15592, 5131, 6397
  Ti077:     5: 5644, 156, 649, 5650, 6755
  Ti078:     5: 4556, 5257, 14771, 15601, 6246
  Ti079:     6: 6361, 6140, 15258, 15500, 506, 56
  Ti080:     5: 5448, 15098, 6580, 6297, 723
  Ti081:     5: 6157, 15517, 5109, 14696, 5219
  Ti082:     5: 4930, 15374, 15281, 828, 5973
  Ti083:     6: 66, 6150, 15122, 14872, 14801, 14700
  Ti084:     5: 14871, 15224, 5216, 5362, 114
  Ti085:     5: 4844, 5873, 5283, 894, 6011
  Ti086:     5: 6149, 14718, 15507, 14858, 260
  Ti087:     6: 6026, 15441, 1010, 5070, 1013, 5046
  Ti088:     5: 5671, 827, 5213, 5517, 65
  Ti089:     5: 6021, 15442, 6863, 15444, 5058
  Ti090:     6: 15290, 15263, 5688, 14920, 6536, 851
  Ti091:     5: 5022, 986, 5640, 6556, 15253
  Ti092:     5: 6184, 14714, 5244, 15544, 436
  Ti093:     5: 5314, 6670, 14706, 629, 14888
  Ti094:     5: 4558, 5462, 14761, 5808, 5111
  Ti095:     5: 6131, 15131, 15491, 304, 14919
  Ti096:     5: 14817, 6332, 5502, 6230, 5577
  Ti097:     5: 4747, 5519, 15009, 15252, 6029
  Ti098:     5: 14944, 15153, 769, 5668, 5529
  Ti099:     5: 5721, 15341, 5673, 897, 6596
  Ti100:     5: 110, 5330, 6194, 14898, 448
  Ti101:     5: 14988, 6001, 4828, 979, 4841
  Ti102:     5: 23, 5211, 14702, 294, 5785
  Ti103:     5: 5868, 15419, 908, 6835, 5894
  Ti104:     5: 85, 14751, 15570, 14694, 5252
  Ti105:     5: 5459, 5942, 15340, 15307, 15396
  Ti106:     5: 6180, 14757, 5218, 15540, 4533
  Ti107:     5: 233, 5445, 6346, 15061, 15387
  Ti108:     5: 113, 4727, 5513, 14908, 14726
  Ti109:     6: 15261, 6655, 697, 14952, 14987, 671
  Ti110:     5: 5348, 14918, 6483, 5539, 458
  Ti111:     5: 4821, 5617, 15170, 4806, 6598
  Ti112:     5: 148, 6167, 6236, 15527, 5996
  Ti113:     5: 15297, 4959, 15175, 860, 5600
  Ti114:     5: 157, 5134, 14840, 14985, 5979
  Ti115:     5: 4731, 14848, 569, 4649, 14972
  Ti116:     5: 5886, 4862, 6646, 5394, 6834
  Ti117:     5: 5227, 6119, 5590, 5176, 5520
  Ti118:     6: 5042, 5010, 15376, 5878, 949, 15338
