  Ti152:     4: 4189, 13365, 89, 5296
  Ti153:     3: 13667, 78, 5781
  Ti154:     3: 4244, 4665, 13482
  Ti155:     3: 13568, 13837, 446
  Ti156:     3: 4764, 5860, 385
  Ti157:     3: 13398, 4426, 562
  Ti158:     3: 4680, 13465, 316
  Ti159:     3: 129, 442, 13530
  Ti160:     3: 13575, 6010, 5200
  Ti161:     3: 4338, 5971, 4818
  Ti162:     3: 13488, 13598, 4433
  Ti163:     3: 4387, 13560, 13702
  Ti164:     3: 135, 5866, 13894
  Ti165:     3: 13362, 354, 70
  Ti166:     3: 5022, 13383, 4226
  Ti167:     3: 4578, 5771, 13829
  Ti168:     4: 5616, 13763, 4692, 13413
  Ti169:     3: 5015, 13349, 4252
  Ti170:     3: 4, 4559, 13257
  Ti171:     3: 5767, 13825, 4568
  Ti172:     4: 16, 4542, 5667, 5701
  Ti173:     3: 4420, 13472, 4887
  Ti174:     3: 4229, 4616, 13457
  Ti175:     3: 13720, 4495, 5632
  Ti176:     3: 13819, 4793, 338
  Ti177:     2: 5391, 5247
  Ti178:     3: 60, 13345, 4721
  Ti179:     3: 5027, 13596, 13639
  Ti180:     3: 4440, 5086, 13688
  Ti181:     3: 13425, 4600, 5814
  Ti182:     3: 4796, 471, 13878
  Ti183:     3: 13315, 5083, 4686
  Ti184:     3: 4570, 5724, 13796
  Ti185:     3: 101, 13860, 5815
  Ti186:     3: 13298, 13848, 37
  Ti187:     3: 4371, 5129, 13531
  Ti188:     3: 4655, 5797, 5508
  Ti189:     3: 13360, 5765, 64
  Ti190:     3: 4390, 5056, 13556
  Ti191:     4: 5298, 13479, 250, 5235
  Ti192:     3: 131, 4798, 13890
  Ti193:     3: 13669, 573, 4405
  Ti194:     3: 5016, 13379, 303
  Ti195:     3: 4369, 5345, 13732
  Ti196:     3: 4284, 13621, 5617
  Ti197:     3: 4514, 5310, 5474
  Ti198:     3: 13686, 5512, 4444
  Ti199:     2: 4467, 13751
  Ti200:     3: 4311, 4815, 5168
  Ti201:     3: 567, 5416, 6075
  Ti202:     3: 4723, 13509, 13863
  Ti203:     4: 4712, 13475, 13376, 347
  Ti204:     3: 4718, 5680, 19
  Ti205:     3: 4761, 5850, 395
  Ti206:     3: 4547, 13277, 13778
  Ti207:     3: 4731, 13508, 5947
  Ti208:     3: 27, 4599, 13786
